Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
ANKS4B	16.742899	16.3811	14.954098	15.596102	14.300499	22.109701	14.3979	24.947302	24.563	17.734	21.057304	17.240498	20.784101	25.274902	18.480299	21.968298	24.657804	18.091803	19.921799	18.541096
ANKS6	5.303108	4.5530977	3.9103434	3.4613402	3.9388025	4.314107	3.2423604	7.7212	4.921934	4.321378	5.6556706	4.60617	5.54952	4.7871823	7.142855	5.415414	4.977589	4.5476923	4.7055492	8.124666
ANKZF1	9.35483	7.116223	10.675108	18.757132	11.544489	9.819158	7.840948	13.298791	18.324514	15.338543	10.984368	9.120393	6.805499	8.85775	10.038723	10.161838	5.9476924	7.622431	6.7006083	17.810457
ANLN	6.790002	2.378883	2.9352677	4.8631077	2.54497	8.239307	2.48062	4.659556	6.954266	2.467357	2.2769763	2.836599	1.7575656	6.515141	3.0709488	8.017405	3.0971603	3.6092188	3.860946	3.002524
ANO10	35.74294	34.6683	33.598522	29.399668	26.791082	45.768967	26.409216	46.02249	45.211433	37.365223	43.20012	38.475502	44.21949	44.130936	35.456245	43.555622	41.849636	46.68174	54.685883	35.25107
ANO1	7.333561	7.893716	5.7058644	4.948515	6.3687806	3.8302805	7.24959	6.7008076	10.055245	3.367734	3.714622	7.1379795	3.582179	4.133831	7.7816987	9.081085	3.7043202	4.6172285	4.561326	4.3311877
ANO5	4.199441	4.247167	2.999994	2.020277	4.2603054	1.46709	4.3149767	3.79331	4.2612605	4.8062854	3.3241103	2.8838696	4.65209	3.88993	4.165258	2.43973	3.7931302	4.1436696	3.57861	3.938885
ANO6	8.191706	9.124379	6.7062955	5.2360797	9.555473	6.4017677	11.100091	8.207834	5.9287415	4.115764	7.1013193	6.153603	5.9537306	6.179597	11.506747	5.8950276	4.8933806	8.264662	4.47975	5.6221175
ANO7	6.6857176	4.0706415	7.1597905	24.392513	7.352421	6.043589	7.0730405	9.394642	20.333002	17.76978	5.151022	4.531202	3.0586264	3.034357	7.389796	5.4325914	2.298224	4.005035	2.6594539	11.895333
ANO8	2.0994337	0.8830166	1.320259	1.8514374	1.2664382	1.096147	0.93794	1.352478	1.7115972	1.293546	1.063568	1.747735	1.08986	1.182638	1.3747932	1.08614	0.7002718	1.5099297	1.0123138	1.92999
ANO9	12.775185	10.512853	17.184471	48.26513	14.058042	17.530016	13.138557	22.590822	44.919018	40.97578	16.559303	11.766182	11.79519	15.388368	15.853224	21.769636	13.393777	12.595974	10.458063	39.57754
ANOS1	0.945095	0.515448	0.913077	0.276884	1.144952	0.3232586	0.980991	0.38228804	0.740706	0.3954451	0.21241218	0.685945	0.19644272	0.33986697	0.6790707	0.3331352	0.3745118	0.53268	0.4015112	0.637727
